station,station_abbr,longitude,latitude
Muttenz,MU,47.53359121189707,7.647894426908637
Pratteln,PR,47.52266863171069,7.690817304270063
Frenkendorf-Füllinsdorf,FRE,47.501469991082466,7.7191105315513475
Liestal,LST,47.48446117213494,7.73136748070282
Lausen,LSN,47.470344672492615,7.759762813994756
Itingen,IT,47.46727871777725,7.787225979669532
Sissach,SIS,47.4627541168619,7.812027570472961
Gelterkinden,GKD,47.46589371982799,7.8476672215733645
Tecknau,TK,47.445760206901056,7.887618191018743
Buckten,BUC,47.40899104799274,7.847800531020694
Läufelfingen,LF,47.39213289163634,7.8562315772739435
Tavannes,TA,47.21984466031046,7.201645389619083
Malleray-Bévilard,MB,47.238714191850846,7.275946266502289
Court,CT,47.24060091564436,7.342109877725175
Moutier,MOU,47.28067251747751,7.3810442962696
Delémont,DMT,47.362012700093885,7.350063323401276
Laufen,LFN,47.419346483524734,7.502636130936873
Zwingen,ZWG,47.433799187304444,7.530463031351539
Grellingen,GREL,47.44129489523931,7.591988354792372
Duggingen,DUG,47.453444859452624,7.603460736311326
Aesch BL,AE,47.46774466229035,7.603068210227586
Dornach-Arlesheim,DOR,47.48861983603074,7.611118941847515
Münchenstein,MST,47.51339736244527,7.617596690256687
Courtételle,CTT,47.342829008594414,7.31794276823699
Courfaivre,CFV,47.335083125319805,7.291165742215083
Bassecourt,BSC,47.3366868768113,7.246846233509848
Glovelier,GLO,47.33520951994369,7.209312768167127
St-Ursanne,SU,47.367702903390985,7.165957053541905
Courgenay,CG,47.40522617645739,7.124205043857655
Porrentruy,POR,47.42091638308304,7.080077285085161
Boncourt,BCT,47.492631868363,7.016551752254879
Buix,BX,47.479333256232906,7.029967263634955
Pieterlen,PIE,47.171441154009955,7.340193538314756
Lengnau BE,LEN,47.179431423257654,7.366553676350066
Grenchen Süd,GS,47.18877468867002,7.398180061160914
Bettlach,BET,47.19494941470177,7.428373016753348
Selzach,SEL,47.20062403005233,7.456635040201262
Solothurn West,SW,47.206717288423135,7.531949150112823
Solothurn,SO,47.20419250287757,7.542689210978397
Solothurn,SO,47.20419250287757,7.542689210978397
Solothurn,SO,47.20419250287757,7.542689210978397
Solothurn,SO,47.20419250287757,7.542689210978397
Solothurn,SO,47.20419250287757,7.542689210978397
Solothurn,SO,47.20419250287757,7.542689210978397
Solothurn,SO,47.20419250287757,7.542689210978397
Solothurn,SO,47.20419250287757,7.542689210978397
Solothurn,SO,47.20419250287757,7.542689210978397
Solothurn,SO,47.20419250287757,7.542689210978397
Solothurn,SO,47.20419250287757,7.542689210978397
Solothurn,SO,47.20419250287757,7.542689210978397
Luterbach-Attisholz,LUT,47.21714919274062,7.583523459570203
Deitingen,DN,47.21822579770595,7.618913024824971
Wangen an der Aare,WAA,47.23195652523852,7.656234488596418
Oensingen,OEN,47.285035105575524,7.709870322003083
Oberbuchsiten,OB,47.305247229439644,7.771723764143215
Egerkingen,EG,47.31486483591499,7.798966473462578
Hägendorf,HAE,47.33026780297659,7.843816396453369
Wangen bei Olten,WBOL,47.3414006731015,7.868360520003616
Olten Hammer,OLH,47.34855515899256,7.897723971976288
Olten,OL,47.35193475927173,7.907699647912902
Büren an der Aare,BUER,47.1381571123965,7.371242830505614
Kaiseraugst,KAU,47.538495726663534,7.724135542431693
Rheinfelden,RF,47.55121403249838,7.7921689011611495
Möhlin,MOE,47.56185846600758,7.8338626581120545
Mumpf,MPF,47.54762608945325,7.909624389373158
Eiken,EI,47.533044273696234,7.989797553151228
Frick,FCK,47.50734852393631,8.013092462834772
Brugg AG,BG,47.48085983498143,8.208844553488953
Brugg AG,BG,47.48085983498143,8.208844553488953
Villnachern,VILL,47.474321204769,8.157629766308338
Stein-Säckingen,STS,47.541608260038224,7.948842873337899
Laufenburg,LFG,47.55976842294444,8.061296132912561
Koblenz,KB,47.60033829869417,8.22704969737929
La Plaine,LP,46.178665387113725,5.9999927797413735
Satigny,SY,46.21422722553378,6.037665211701825
Les Tuileries,TUI,46.24994634594036,6.147337458926192
Mies,MIES,46.29848883327671,6.167654650769352
Tannay,TAN,46.3076451448833,6.181120364557776
Chambésy,CHY,46.24094485508294,6.14730432070269
Genthod-Bellevue,GDBE,46.25673767556866,6.1539607925701025
Versoix,VSX,46.27972718493062,6.165741292020819
Coppet,COP,46.3173935707457,6.187827380950367
Genève-Aéroport,GEAP,46.232538534386,6.1119855726001555
Nyon,NY,46.384418967533556,6.235966130629615
Gland,GLA,46.4199864712422,6.269139833631342
Rolle,ROL,46.46274581604103,6.336403807618891
Allaman,ALL,46.47575352079985,6.3996970797473365
St-Prex,STP,46.482316906306146,6.455906017304929
Morges,MOR,46.51110119786617,6.4939695006352895
Etoy,ETOY,46.47517274137139,6.4271353555589625
Denges-Echandens,DEN,46.52912709914963,6.540505481883313
Vallorbe,VAL,46.712406324301625,6.370565635407373
Le Day,DAY,46.72003152823097,6.399023786518675
Bretonnières,BRT,46.715055329928944,6.474732504265314
Croy-Romainmôtier,CR,46.69671231859729,6.478116268552421
Arnex,AX,46.69807765284372,6.518907163288413
La Sarraz,LSA,46.6587849715761,6.517361004533225
Ependes VD,EP,46.74641611110661,6.60766187443393
Chavornay,CHV,46.71008452939167,6.56816324702275
Bavois,BAV,46.687679910386954,6.5593348523636426
Eclépens,ECL,46.65719065799178,6.5524211233202925
Cossonay-Penthalaz,COS,46.60601008528662,6.523689168142415
Bussigny,BY,46.54759036746441,6.551826149226755
Lutry,LTY,46.503786768358125,6.690609436558637
Cully,CU,46.48856179169179,6.72715146684902
Epesses,EPS,46.48932879519114,6.745166034120108
Rivaz,RIV,46.4742077360781,6.784594982914347
Vevey,VV,46.463001810656536,6.843445598238401
Burier,BURI,46.447886474978795,6.877121824811781
Clarens,CL,46.4427382990072,6.895779936610747
Montreux,MX,46.43588434112014,6.910440121305959
Montreux,MX,46.43588434112014,6.910440121305959
Villeneuve VD,VIL,46.398371506417746,6.927003108049977
Roche VD,ROC,46.3586963721056,6.9270528374610425
Aigle,AIG,46.31685541859803,6.9636832118614045
Bex,BEX,46.25146458228644,7.000669902355407
St-Maurice,SM,46.21636950282689,7.002043898248964
Evionnaz,EV,46.16925438008289,7.025518152713327
Vernayaz,VERN,46.13854600814737,7.038358586276826
Collombey,CBY,46.27119293073529,6.948756368455027
Bouveret,BOU,46.38581715888865,6.853243857797023
